"Category Name","Product Name","Product Price","Best Seller Rating","Ship From","Sold By","Rating","Product Description","Number Bought in the Past Month","All Available Images"
"shoes","Dr.Ortho Orthopedic Slippers | Acupressure Slippers | Flip-Flops | For Men & Women's Slippers","","‎ 1.00 count Best Sellers Rank: #9 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #9 in Women's Flip-Flops & Slippers Customer Reviews: 4.1 4.1 out of 5 stars 2,756 ratings","Amazon","Deerghayurveda Details","4.1 out of 5","N/A","N/A","N/A"
"shoes","FLITE Men's Flip Flops Thong Slippers","N/A","‎ Sliders Best Sellers Rank: #10 in Shoes & Handbags ( See Top 100 in Shoes & Handbags ) #1 in Men's Fashion Sandals Customer Reviews: 3.9 3.9 out of 5 stars 51,078 ratings","N/A","N/A","3.9 out of 5","Sparx Presents footwear range that Will Keep Your Feet At Great Ease, While You walk, run or work out in the Gym. These Are Light In Weight, Flexible And Very Comfortable To Wear As Well.","N/A","N/A"
"computers","FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls","","‎ Anti Theft Laptop Backpack Best Sellers Rank: #1 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #1 in Laptop Backpacks Customer Reviews: 4.0 4.0 out of 5 stars 6,109 ratings","Amazon","RetailEZ Pvt Ltd Details","4 out of 5","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.","N/A","N/A"
"computers","STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black)","₹279.00","N/A","Amazon","Clicktech Retail Private Ltd Details","4.3 out of 5","FOLDABLE, PORTABLE, LIGHTWEIGHT: The Carnation Laptop Stand has a thin, hard plastic frame. It can be easily folded and carried around. Durable enough to withstand the weight of up to 55 lbs (25kg).
OPTIMIZED FOR AIR VENTILATION: To prevent your computer from overheating, the laptop stand has large cut-out vents and adjustable height options that allow air to circulate from all sides. Well vented.
ADJUSTABLE HEIGHT 7 OPTIONS: Raise your laptop or tablet to any of seven adjustable heights from 2.7” to 6.7” so you can get a clearer, glare-free view while getting neck pain relief and preventing eye strain.
PHONE STAND, and PURE ERGONOMICS: Easily share the screen with those next to you. No constant reaching for your phone anymore. This means fewer distractions, better concentration. The new meaning of Ergonomic.","N/A","N/A"
"computers","Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)","₹169.00","N/A","Amazon","Cocoblu Retail Details","4 out of 5","3A Fast Charging - Delivers 3A fast charging and 480 Mbps data transfer speed.
Quick Charge 2.0/ 3.0 - Supports Quick Charge (QC) 2.0/3.0 to deliver rapid charging speed.
Wide Compatibility - It is compatible with all Type-C enabled devices including Android smartphones, tablets and PC peripherals.
Unbreakable - Made of special braided outer with rugged interior bindings, it is an ultra-durable cable that won’t be affected by daily rough usage.
Ideal Length - It has an ideal length of 1.5 meters which is super convenient to use.
Made in India - This product is Made in India at the Ambrane’s manufacturing facility in Haryana.
180 Days Warranty - It comes with a 6 months warranty against manufacturing defects.","N/A","N/A"
"computers","HP 818w 32GB USB 3.2 Flash Drive Silver Metal","₹299.00","N/A","Amazon","Clicktech Retail Private Ltd Details","3.9 out of 5","Durable metal casing with USB 3.2 speeds.
Thoughtful cap-less free design for easy carry.
Matte Silver Texturized body is scratchproof and dirt-repellent.
Integrated key ring loop for easy attachment to key chains,backpacks, totes, and more.","N/A","N/A"
"computers","Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop","₹495.00","N/A","Amazon","Clicktech Retail Private Ltd Packaging Ships in product packaging This item has been tested to certify it can ship safely in its original box or bag to avoid unnecessary packaging. Since 2015, we have reduced the weight of outbound packaging per shipment by 41% on average, that’s over 2 million tons of packaging material. Details","4.3 out of 5","Compact Mouse: With a comfortable and contoured shape, this Logitech ambidextrous wireless mouse feels great in either right or left hand and is far superior to a touchpad
Durable and Reliable: This wireless USB mouse features a line-by-line scroll wheel, up to 1 year of battery life (2) thanks to a smart sleep mode function, and comes with the included AA battery
Universal Compatibility: Your Logitech mouse works with your Windows PC, Mac, or laptop, so no matter what type of computer you own today or buy tomorrow your mouse will be compatible
Plug and Play Simplicity: Just plug in the tiny nano USB receiver and start working in seconds with a strong, reliable connection to your cordless computer mouse up to 10 m (5)
Better than touchpad: Get more done by adding M185 to your laptop; according to a recent study, laptop users who chose this mouse over a touchpad were 50% more productive (3) and worked 30% faster (4)","N/A","N/A"
"computers","Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)","₹399.00","N/A","Amazon","Clicktech Retail Private Ltd Details","4.3 out of 5","Dyazo Height Adjusting Laptop Stand Or Laptop Ergonomic Stand Or Laptop Stands For Office Desk Improves Your Posture Scientifically Designed To Help You Balance You’re Sitting Posture Keeping Your Back Straight, Neck Relaxed And Wrists Natural Even After Long Work Hours
Multi-Angle Adjustable Design: The Aluminium Laptop Stand Or Metal Laptop Stand Or Foldable Laptop Stand Or Better Known As A Aluminum Laptop Stand Provides 6-Speed Adjustable Height, Adjust To Comfortable Operating Angle And Height Based On Your Actual Need. And The Ergonomic Design Makes For Easy Watching And Typing, Relieving Neck, Shoulder And Spinal Pain.
Compatibility: The Laptop & Tablet Stand Supports Most Devices From 10 - 15.6 Inches: Macbook, Thinkpad, Surface, Chromebook, Ipad Pro, Etc. Therefore Known As A 11.6 Inch Laptop Stand ,12 Inch Laptop Stand , 13.3 Inch Laptop Stand ,15 Inch Laptop Stans & 15.6 Inch Laptop Stand
Dyazo Travel Laptop Stand Or Laptop Stand Metal Is A Laptop Foldable Stand Which You Can Fold And Carry Easly In Your Backpack Or Briefcase You Can Use It To Change Angle Of Your Laptop Therefore Use It As Laptop Incline Stand Or Laptop Height Stand
Laptop stand fully foldable, light weight at 260gm only and extremely handy to carry in your office bag [Increases laptop life]-keeps your laptop cooler so the battery life and internal components life also improves
EXQUISITE WORKMANSHIP: Machined from anodized aluminum alloy, with sand blasted and brushed processes. With Non-slip silicone mat, avoid from risking of any scratches to your devices and stable placement makes it the best laptop stand available in the market
One year warranty","N/A","N/A"
"computers","Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre","₹649.00","‎ Backpack Best Sellers Rank: #5 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #2 in Laptop Backpacks Customer Reviews: 4.0 4.0 out of 5 stars 3,953 ratings","Amazon","RetailEZ Pvt Ltd Details","4 out of 5","2 spacious compartments with 2 front pockets and an organizer compartment
Padded Laptop compartment
Rain cover
Compression straps and reflective strips for better travelling experience
Bottle and umbrella holder pockets, Padded shoulder straps","N/A","N/A"
"computers","boAt Type C A325/A320 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480 Mbps Data Transmission Speed, Compatible with Smartphones & Tablets(Black)","₹99.00","N/A","Amazon","Cocoblu Retail Details","4 out of 5","Type C A325/A320 Cable Is Designed With A Perfect 1.5 Meters In Length For Hassle Free Usage
It Dons Premium Braided Skin That Makes It Sturdy And Invincible Against External Damage With 10000+ Bends Lifespan The Cable Stays Stronger And Lasts Longer
Type C A325/A320 Offers Universal Compatibility With Smartphones, Tablets, Pc Peripherals, Bluetooth Speakers, Power Banks And All Other Devices With Type C Port
The Reversible Metallic Aluminium Tip Lets The User Connect Devices In A Carefree Manner
Its Flexible Design Offers The User A Tangle-Free Experience
2 years warranty from the date of purchase","N/A","N/A"
